circuitid,raceid,resultid,statusid,alt
22,15,7842,1,45
22,15,7846,1,45
22,15,7834,1,45
22,15,7843,1,45
22,15,7853,73,45
22,15,7852,8,45
22,15,7851,3,45
22,15,7850,12,45
22,15,7849,11,45
22,15,7848,1,45
22,15,7847,1,45
18,16,7856,1,785
18,16,7873,3,785
18,16,7872,3,785
18,16,7871,3,785
18,16,7870,60,785
18,16,7869,6,785
18,16,7868,3,785
18,16,7867,11,785
18,16,7866,11,785
18,16,7865,1,785
18,16,7864,1,785
18,16,7863,1,785
18,16,7862,1,785
18,16,7861,1,785
18,16,7860,1,785
18,16,7859,1,785
18,16,7858,1,785
18,16,7857,1,785
18,16,7855,1,785
18,16,7854,1,785
24,17,16074,1,3
24,17,16081,1,3
24,17,16082,11,3
24,17,16083,11,3
24,17,16084,11,3
24,17,16085,23,3
24,17,16086,6,3
24,17,16080,1,3
24,17,16079,1,3
24,17,16078,1,3
24,17,16077,1,3
24,17,16076,1,3
24,17,16075,1,3
24,17,16070,1,3
24,17,16069,1,3
24,17,16068,1,3
24,17,16067,1,3
24,17,16072,1,3
24,17,16071,1,3
24,17,16073,1,3
1,18,22,2,10
1,18,12,8,10
1,18,1,1,10
1,18,11,7,10
1,18,10,3,10
1,18,9,4,10
1,18,8,5,10
1,18,7,5,10
1,18,6,11,10
1,18,5,1,10
1,18,4,1,10
1,18,3,1,10
1,18,2,1,10
1,18,20,4,10
1,18,19,4,10
1,18,18,4,10
1,18,17,4,10
1,18,16,9,10
1,18,15,10,10
1,18,14,4,10
1,18,13,5,10
1,18,21,4,10
2,19,44,20,18
2,19,23,1,18
2,19,33,1,18
2,19,32,1,18
2,19,31,1,18
2,19,30,1,18
2,19,24,1,18
2,19,29,1,18
2,19,28,1,18
2,19,27,1,18
2,19,25,1,18
2,19,26,1,18
2,19,34,11,18
2,19,35,11,18
2,19,36,11,18
2,19,37,11,18
2,19,38,12,18
2,19,39,12,18
2,19,40,5,18
2,19,41,20,18
2,19,42,9,18
2,19,43,4,18
3,20,63,12,7
3,20,45,1,7
3,20,46,1,7
3,20,47,1,7
3,20,48,1,7
3,20,49,1,7
3,20,50,1,7
3,20,51,1,7
3,20,52,1,7
3,20,53,1,7
3,20,54,1,7
3,20,55,1,7
3,20,56,11,7
3,20,57,11,7
3,20,58,11,7
3,20,59,11,7
3,20,60,11,7
3,20,61,11,7
3,20,62,11,7
3,20,64,6,7
3,20,65,4,7
3,20,66,5,7
4,21,87,4,109
4,21,67,1,109
4,21,68,1,109
4,21,69,1,109
4,21,70,1,109
4,21,71,1,109
4,21,72,1,109
4,21,73,1,109
4,21,74,1,109
4,21,75,1,109
4,21,76,11,109
4,21,77,11,109
4,21,78,11,109
4,21,79,11,109
4,21,80,5,109
4,21,81,5,109
4,21,82,4,109
4,21,83,3,109
4,21,84,21,109
4,21,88,4,109
4,21,85,4,109
4,21,86,4,109
5,22,95,1,130
5,22,108,4,130
5,22,107,4,130
5,22,106,22,130
5,22,105,11,130
5,22,104,11,130
5,22,103,11,130
5,22,102,11,130
5,22,101,11,130
5,22,100,11,130
5,22,99,11,130
5,22,98,1,130
5,22,97,1,130
5,22,96,1,130
5,22,94,1,130
5,22,93,1,130
5,22,92,1,130
5,22,91,1,130
5,22,90,1,130
5,22,89,1,130
6,23,128,4,7
6,23,109,1,7
6,23,110,1,7
6,23,111,1,7
6,23,112,1,7
6,23,113,1,7
6,23,114,1,7
6,23,115,1,7
6,23,116,1,7
6,23,117,1,7
6,23,118,11,7
6,23,119,11,7
6,23,120,11,7
6,23,121,11,7
6,23,122,14,7
6,23,123,4,7
6,23,124,3,7
6,23,125,3,7
6,23,126,6,7
6,23,127,3,7
7,24,138,1,13
7,24,129,1,13
7,24,130,1,13
7,24,131,1,13
7,24,132,1,13
7,24,133,1,13
7,24,134,1,13
7,24,135,1,13
7,24,136,1,13
7,24,137,1,13
7,24,139,1,13
7,24,140,1,13
7,24,141,11,13
7,24,142,20,13
7,24,143,3,13
7,24,144,20,13
7,24,145,23,13
7,24,146,4,13
7,24,147,4,13
7,24,148,6,13
8,25,168,4,228
8,25,149,1,228
8,25,150,1,228
8,25,151,1,228
8,25,152,1,228
8,25,153,1,228
8,25,154,1,228
8,25,155,1,228
8,25,156,1,228
8,25,157,1,228
8,25,158,1,228
8,25,159,1,228
8,25,160,1,228
8,25,161,1,228
8,25,162,11,228
8,25,163,11,228
8,25,164,11,228
8,25,165,11,228
8,25,166,11,228
8,25,167,11,228
9,26,186,20,153
9,26,169,1,153
9,26,170,1,153
9,26,171,1,153
9,26,172,11,153
9,26,173,11,153
9,26,174,11,153
9,26,175,11,153
9,26,176,11,153
9,26,177,11,153
9,26,188,4,153
9,26,178,11,153
9,26,179,11,153
9,26,180,11,153
9,26,181,12,153
9,26,182,20,153
9,26,183,20,153
9,26,184,20,153
9,26,185,20,153
9,26,187,4,153
10,27,198,1,103
10,27,189,1,103
10,27,190,1,103
10,27,191,1,103
10,27,192,1,103
10,27,193,1,103
10,27,194,1,103
10,27,195,1,103
10,27,196,1,103
10,27,197,1,103
10,27,199,1,103
10,27,200,1,103
10,27,201,1,103
10,27,202,1,103
10,27,203,1,103
10,27,204,1,103
10,27,205,11,103
10,27,206,4,103
10,27,207,5,103
10,27,208,22,103
11,28,228,25,264
11,28,209,1,264
11,28,210,1,264
11,28,211,1,264
11,28,212,1,264
11,28,213,1,264
11,28,214,1,264
11,28,215,1,264
11,28,216,1,264
11,28,217,1,264
11,28,218,1,264
11,28,219,1,264
11,28,220,11,264
11,28,221,11,264
11,28,222,11,264
11,28,223,11,264
11,28,224,12,264
11,28,225,5,264
11,28,226,13,264
11,28,227,23,264
12,29,238,1,4
12,29,229,1,4
12,29,230,1,4
12,29,231,1,4
12,29,232,1,4
12,29,233,1,4
12,29,234,1,4
12,29,235,1,4
12,29,236,1,4
12,29,237,1,4
12,29,239,1,4
12,29,240,11,4
12,29,241,11,4
12,29,242,11,4
12,29,243,11,4
12,29,244,11,4
12,29,245,11,4
12,29,246,5,4
12,29,247,3,4
12,29,248,4,4
13,30,267,6,401
13,30,249,1,401
13,30,250,1,401
13,30,251,1,401
13,30,252,1,401
13,30,253,1,401
13,30,254,1,401
13,30,255,1,401
13,30,256,1,401
13,30,257,1,401
13,30,258,6,401
13,30,259,11,401
13,30,260,11,401
13,30,261,11,401
