raceid,circuitid,alt,resultid,statusid
33,16,583,319,1
33,16,583,320,1
33,16,583,321,11
33,16,583,322,11
33,16,583,323,11
33,16,583,324,6
33,16,583,325,5
33,16,583,326,27
33,16,583,327,28
33,16,583,328,4
34,17,5,329,1
34,17,5,330,1
34,17,5,331,1
34,17,5,332,1
34,17,5,333,1
34,17,5,334,1
34,17,5,335,1
34,17,5,336,1
34,17,5,337,1
34,17,5,338,1
34,17,5,339,1
34,17,5,340,1
34,17,5,341,1
34,17,5,342,1
34,17,5,343,11
34,17,5,344,11
34,17,5,345,11
34,17,5,346,9
34,17,5,347,5
34,17,5,348,4
35,18,785,349,1
35,18,785,350,1
35,18,785,351,1
35,18,785,352,1
35,18,785,353,1
35,18,785,354,1
35,18,785,355,1
35,18,785,356,1
35,18,785,357,1
35,18,785,358,11
35,18,785,359,11
35,18,785,360,11
35,18,785,361,11
35,18,785,362,11
35,18,785,363,11
35,18,785,364,12
35,18,785,365,12
35,18,785,366,12
35,18,785,367,3
35,18,785,368,4
36,1,10,369,1
36,1,10,370,1
36,1,10,371,1
36,1,10,372,1
36,1,10,373,1
36,1,10,374,1
36,1,10,375,11
36,1,10,376,11
36,1,10,377,11
36,1,10,378,11
36,1,10,379,11
36,1,10,380,11
36,1,10,381,11
36,1,10,382,11
36,1,10,383,11
36,1,10,384,12
36,1,10,385,12
36,1,10,386,4
36,1,10,387,4
36,1,10,388,6
36,1,10,389,29
36,1,10,390,3
37,2,18,391,1
37,2,18,392,1
37,2,18,393,1
37,2,18,394,1
37,2,18,395,1
37,2,18,396,1
37,2,18,397,1
37,2,18,398,1
37,2,18,399,1
37,2,18,400,1
37,2,18,401,11
37,2,18,402,11
37,2,18,403,11
37,2,18,404,11
37,2,18,405,11
37,2,18,406,11
37,2,18,407,11
37,2,18,408,11
37,2,18,409,9
37,2,18,410,23
37,2,18,411,5
37,2,18,412,4
38,3,7,413,1
38,3,7,414,1
38,3,7,415,1
38,3,7,416,1
38,3,7,417,1
38,3,7,418,1
38,3,7,419,1
38,3,7,420,1
38,3,7,421,1
38,3,7,422,1
38,3,7,423,11
38,3,7,424,11
38,3,7,425,11
38,3,7,426,12
38,3,7,427,14
38,3,7,428,5
38,3,7,429,6
38,3,7,430,30
38,3,7,431,5
38,3,7,432,9
38,3,7,433,4
38,3,7,434,4
39,4,109,435,1
39,4,109,436,1
39,4,109,437,1
39,4,109,438,1
39,4,109,439,1
39,4,109,440,1
39,4,109,441,1
39,4,109,442,11
39,4,109,443,11
39,4,109,444,11
39,4,109,445,11
39,4,109,446,11
39,4,109,447,12
39,4,109,448,12
39,4,109,449,6
39,4,109,450,22
39,4,109,451,31
39,4,109,452,27
39,4,109,453,22
39,4,109,454,32
39,4,109,455,9
39,4,109,456,4
40,6,7,457,1
40,6,7,458,1
40,6,7,459,1
40,6,7,460,11
40,6,7,461,11
40,6,7,462,11
40,6,7,463,11
40,6,7,464,11
40,6,7,465,11
40,6,7,466,11
40,6,7,467,11
40,6,7,468,11
40,6,7,469,5
40,6,7,470,12
40,6,7,471,12
40,6,7,472,12
40,6,7,473,12
40,6,7,474,12
40,6,7,475,30
40,6,7,476,3
40,6,7,477,6
40,6,7,478,3
41,7,13,479,1
41,7,13,480,1
41,7,13,481,1
41,7,13,482,1
41,7,13,483,1
41,7,13,484,1
41,7,13,485,1
41,7,13,486,1
41,7,13,487,1
41,7,13,488,1
41,7,13,489,1
41,7,13,490,1
41,7,13,491,3
41,7,13,492,3
41,7,13,493,33
41,7,13,494,6
41,7,13,495,3
41,7,13,496,3
41,7,13,497,3
41,7,13,498,6
41,7,13,499,2
41,7,13,500,2
42,19,223,501,1
42,19,223,502,1
42,19,223,503,1
42,19,223,504,1
42,19,223,505,1
42,19,223,506,1
42,19,223,507,1
42,19,223,508,1
42,19,223,509,11
42,19,223,510,11
42,19,223,511,11
42,19,223,512,11
42,19,223,513,12
42,19,223,514,12
42,19,223,515,13
42,19,223,516,5
42,19,223,517,34
42,19,223,518,7
42,19,223,519,20
42,19,223,520,4
42,19,223,521,4
42,19,223,522,4
43,8,228,523,1
43,8,228,524,1
43,8,228,525,1
43,8,228,526,1
43,8,228,527,1
43,8,228,528,1
43,8,228,529,1
43,8,228,530,1
43,8,228,531,1
43,8,228,532,11
43,8,228,533,11
43,8,228,534,11
43,8,228,535,11
43,8,228,536,11
43,8,228,537,11
43,8,228,538,12
43,8,228,539,12
43,8,228,540,6
43,8,228,541,35
43,8,228,542,4
43,8,228,543,4
43,8,228,544,4
44,9,153,545,1
44,9,153,546,1
44,9,153,547,1
44,9,153,548,1
44,9,153,549,1
44,9,153,550,1
44,9,153,551,11
44,9,153,552,11
44,9,153,553,11
44,9,153,554,11
44,9,153,555,11
44,9,153,556,11
44,9,153,557,11
44,9,153,558,12
44,9,153,559,12
44,9,153,560,6
44,9,153,561,31
44,9,153,562,26
44,9,153,563,3
44,9,153,564,36
44,9,153,565,5
44,9,153,566,9
45,20,578,567,1
45,20,578,568,1
45,20,578,569,1
45,20,578,570,1
45,20,578,571,1
45,20,578,572,1
45,20,578,573,1
45,20,578,574,11
45,20,578,575,11
45,20,578,576,11
45,20,578,577,11
45,20,578,578,11
45,20,578,579,11
45,20,578,580,9
45,20,578,581,31
45,20,578,582,4
45,20,578,583,9
45,20,578,584,20
45,20,578,585,20
45,20,578,586,20
45,20,578,587,20
45,20,578,588,20
46,11,264,589,1
46,11,264,590,1
46,11,264,591,1
46,11,264,592,1
46,11,264,593,1
46,11,264,594,1
46,11,264,595,1
46,11,264,596,1
46,11,264,597,1
46,11,264,598,11
46,11,264,599,11
46,11,264,600,11
46,11,264,601,11
46,11,264,602,11
46,11,264,603,11
46,11,264,604,11
46,11,264,605,12
46,11,264,606,12
46,11,264,607,10
46,11,264,608,3
46,11,264,609,37
46,11,264,610,3
47,5,130,611,1
47,5,130,612,1
47,5,130,613,1
47,5,130,614,1
47,5,130,615,1
47,5,130,616,1
47,5,130,617,1
47,5,130,618,1
47,5,130,619,1
47,5,130,620,1
47,5,130,621,1
47,5,130,622,11
47,5,130,623,11
47,5,130,624,11
47,5,130,625,11
47,5,130,626,11
47,5,130,627,11
47,5,130,628,11
47,5,130,629,11
47,5,130,630,12
47,5,130,631,32
47,5,130,632,9
48,14,162,633,1
48,14,162,634,1
48,14,162,635,1
48,14,162,636,1
48,14,162,637,1
48,14,162,638,1
48,14,162,639,1
48,14,162,640,1
48,14,162,641,1
48,14,162,642,1
48,14,162,643,1
48,14,162,644,11
48,14,162,645,11
48,14,162,646,11
48,14,162,647,11
48,14,162,648,11
48,14,162,649,11
48,14,162,650,11
48,14,162,651,11
48,14,162,652,11
48,14,162,653,22
48,14,162,654,3
49,13,401,655,1
49,13,401,656,1
49,13,401,657,1
49,13,401,658,1
49,13,401,659,1
49,13,401,660,1
49,13,401,661,1
49,13,401,662,1
49,13,401,663,1
49,13,401,664,1
49,13,401,665,1
49,13,401,666,11
49,13,401,667,11
49,13,401,668,11
49,13,401,669,11
49,13,401,670,11
49,13,401,671,11
49,13,401,672,9
49,13,401,673,32
49,13,401,674,9
49,13,401,675,38
49,13,401,676,22
50,16,583,677,1
50,16,583,678,1
50,16,583,679,1
50,16,583,680,1
50,16,583,681,1
50,16,583,682,1
50,16,583,683,1
50,16,583,684,1
50,16,583,685,1
50,16,583,686,1
50,16,583,687,22
50,16,583,688,11
50,16,583,689,11
50,16,583,690,39
50,16,583,691,4
50,16,583,692,29
50,16,583,693,37
50,16,583,694,40
50,16,583,695,4
50,16,583,696,4
50,16,583,697,3
50,16,583,698,4
51,17,5,699,1
51,17,5,700,1
51,17,5,701,1
51,17,5,702,1
51,17,5,703,1
51,17,5,704,1
51,17,5,705,1
51,17,5,706,1
51,17,5,707,1
51,17,5,708,1
51,17,5,709,1
51,17,5,710,11
51,17,5,711,11
51,17,5,712,11
51,17,5,713,11
51,17,5,714,12
51,17,5,715,13
51,17,5,716,9
51,17,5,717,20
51,17,5,718,20
51,17,5,719,3
51,17,5,720,23
52,18,785,721,1
52,18,785,722,1
52,18,785,723,1
52,18,785,724,1
52,18,785,725,1
52,18,785,726,1
52,18,785,727,11
52,18,785,728,11
52,18,785,729,11
52,18,785,730,11
52,18,785,731,11
52,18,785,732,12
52,18,785,733,12
52,18,785,734,13
52,18,785,735,23
52,18,785,736,5
52,18,785,737,3
52,18,785,738,9
52,18,785,739,5
52,18,785,740,6
52,18,785,741,4
52,18,785,742,4
53,3,7,743,1
53,3,7,744,1
53,3,7,745,1
53,3,7,746,1
53,3,7,747,1
53,3,7,748,1
53,3,7,749,1
53,3,7,750,1
53,3,7,751,1
53,3,7,752,1
53,3,7,753,1
53,3,7,754,11
53,3,7,755,11
53,3,7,756,11
53,3,7,757,11
53,3,7,758,11
53,3,7,759,12
53,3,7,760,14
53,3,7,761,26
53,3,7,762,5
53,3,7,763,9
53,3,7,764,30
54,2,18,765,1
54,2,18,766,1
54,2,18,767,1
54,2,18,768,1
54,2,18,769,1
54,2,18,770,1
54,2,18,771,1
54,2,18,772,1
54,2,18,773,11
54,2,18,774,11
54,2,18,775,12
54,2,18,776,12
54,2,18,777,12
54,2,18,778,13
54,2,18,779,5
54,2,18,780,8
54,2,18,781,26
54,2,18,782,9
54,2,18,783,9
54,2,18,784,9
54,2,18,785,5
54,2,18,786,3
55,1,10,787,1
55,1,10,788,1
55,1,10,789,1
55,1,10,790,1
55,1,10,791,1
55,1,10,792,1
55,1,10,793,1
55,1,10,794,1
55,1,10,795,1
55,1,10,796,11
55,1,10,797,11
55,1,10,798,12
55,1,10,799,13
55,1,10,800,10
55,1,10,801,26
55,1,10,802,3
55,1,10,803,3
55,1,10,804,7
55,1,10,805,3
55,1,10,806,3
55,1,10,807,3
55,1,10,808,3
56,21,37,809,1
56,21,37,810,1
56,21,37,811,1
56,21,37,812,1
56,21,37,813,1
56,21,37,814,1
56,21,37,815,1
56,21,37,816,1
56,21,37,817,1
56,21,37,818,1
56,21,37,819,1
56,21,37,820,1
56,21,37,821,11
56,21,37,822,11
56,21,37,823,11
56,21,37,824,12
56,21,37,825,30
56,21,37,826,20
56,21,37,827,9
56,21,37,828,22
56,21,37,829,38
56,21,37,830,3
57,20,578,831,1
57,20,578,832,1
57,20,578,833,1
57,20,578,834,1
57,20,578,835,1
57,20,578,836,1
57,20,578,837,1
57,20,578,838,1
57,20,578,839,11
57,20,578,840,11
57,20,578,841,11
57,20,578,842,11
57,20,578,843,11
57,20,578,844,5
57,20,578,845,5
57,20,578,846,9
57,20,578,847,9
57,20,578,848,5
57,20,578,849,6
57,20,578,850,9
57,20,578,851,3
57,20,578,852,3
58,4,109,853,1
58,4,109,854,1
58,4,109,855,1
58,4,109,856,1
58,4,109,857,1
58,4,109,858,1
58,4,109,859,11
58,4,109,860,11
58,4,109,861,11
58,4,109,862,11
58,4,109,863,11
58,4,109,864,11
58,4,109,865,11
58,4,109,866,11
58,4,109,867,9
58,4,109,868,13
58,4,109,869,14
58,4,109,870,41
58,4,109,871,5
58,4,109,872,40
58,4,109,873,20
58,4,109,874,30
59,6,7,875,1
59,6,7,876,1
59,6,7,877,1
59,6,7,878,1
59,6,7,879,1
59,6,7,880,1
59,6,7,881,11
59,6,7,882,11
59,6,7,883,11
59,6,7,884,11
59,6,7,885,11
59,6,7,886,11
59,6,7,887,11
59,6,7,888,11
59,6,7,889,12
59,6,7,890,13
59,6,7,891,9
59,6,7,892,7
59,6,7,893,3
59,6,7,894,42
59,6,7,895,43
59,6,7,896,10
60,9,153,897,1
60,9,153,898,1
60,9,153,899,1
60,9,153,900,1
60,9,153,901,1
60,9,153,902,1
60,9,153,903,1
60,9,153,904,1
60,9,153,905,1
60,9,153,906,11
60,9,153,907,11
60,9,153,908,11
60,9,153,909,11
60,9,153,910,11
60,9,153,911,11
60,9,153,912,12
60,9,153,913,13
60,9,153,914,13
60,9,153,915,44
60,9,153,916,3
60,9,153,917,3
60,9,153,918,3
61,7,13,919,1
61,7,13,920,1
61,7,13,921,1
61,7,13,922,1
61,7,13,923,1
61,7,13,924,11
61,7,13,925,11
61,7,13,926,11
61,7,13,927,11
61,7,13,928,11
61,7,13,929,11
61,7,13,930,11
61,7,13,931,12
61,7,13,932,14
61,7,13,933,3
61,7,13,934,3
61,7,13,935,31
61,7,13,936,3
61,7,13,937,26
61,7,13,938,5
61,7,13,939,3
61,7,13,940,3
62,19,223,941,1
62,19,223,942,1
62,19,223,943,1
62,19,223,944,1
62,19,223,945,1
62,19,223,946,1
62,19,223,947,11
62,19,223,948,11
62,19,223,949,11
62,19,223,950,45
62,19,223,951,7
62,19,223,952,5
62,19,223,953,3
62,19,223,954,3
62,19,223,955,3
62,19,223,956,3
62,19,223,957,3
62,19,223,958,3
62,19,223,959,3
62,19,223,960,3
62,19,223,961,3
62,19,223,962,3
63,8,228,963,1
63,8,228,964,1
63,8,228,965,1
63,8,228,966,1
63,8,228,967,1
63,8,228,968,1
63,8,228,969,1
63,8,228,970,11
63,8,228,971,11
63,8,228,972,11
63,8,228,973,11
63,8,228,974,11
63,8,228,975,11
63,8,228,976,12
63,8,228,977,12
63,8,228,978,13
63,8,228,979,39
63,8,228,980,46
63,8,228,981,23
63,8,228,982,5
63,8,228,983,26
63,8,228,984,7
64,10,103,985,1
64,10,103,986,1
64,10,103,987,1
64,10,103,988,1
64,10,103,989,1
64,10,103,990,1
64,10,103,991,1
64,10,103,992,1
64,10,103,993,1
64,10,103,994,11
64,10,103,995,11
64,10,103,996,11
64,10,103,997,47
64,10,103,998,6
64,10,103,999,3
64,10,103,1000,5
64,10,103,1001,23
64,10,103,1002,48
64,10,103,1003,30
64,10,103,1004,3
64,10,103,1005,2
64,10,103,1006,2
65,11,264,1007,1
65,11,264,1008,1
65,11,264,1009,1
65,11,264,1010,1
65,11,264,1011,11
65,11,264,1012,11
65,11,264,1013,11
65,11,264,1014,49
65,11,264,1015,13
65,11,264,1016,13
65,11,264,1017,14
65,11,264,1018,5
65,11,264,1019,15
65,11,264,1020,30
65,11,264,1021,4
65,11,264,1022,4
65,11,264,1023,10
65,11,264,1024,20
65,11,264,1025,20
65,11,264,1026,3
65,11,264,1027,5
