raceid,year,driverid,max_points
195,1998,63,0
694,1966,278,0
385,1988,95,12
315,1991,122,1
103,2004,31,38
1033,2020,815,22
835,1950,555,0
754,1960,360,33
1141,2024,844,307
782,1957,479,10
479,1982,172,5
428,1985,158,0
51,2007,23,5
328,1990,149,0
61,2006,17,6
664,1969,262,0
993,2018,815,17
1027,2019,825,20
345,2010,17,103
775,1958,536,0
541,1978,172,19
1024,2019,9,1
643,1970,356,9
486,1981,197,0
688,1967,351,0
424,1985,84,0
25,2008,16,0
625,1972,235,16
752,1960,341,6
540,1978,248,0
774,1958,455,0
764,1959,520,0
781,1957,528,0
45,2007,26,0
672,1968,340,0
730,1962,424,0
783,1957,483,1
604,1974,312,0
597,1974,278,0
559,1977,240,0
13,2009,18,80
109,2003,50,0
1065,2021,842,66
688,1967,262,0
821,1952,526,8
536,1978,224,7
811,1953,593,0
812,1953,456,0
385,1988,133,0
146,2001,49,6
602,1974,219,0
1122,2024,817,0
1140,2024,839,5
269,1994,104,6
294,1992,88,0
828,1951,658,2
250,1995,30,66
325,1990,127,0
393,1987,140,13
605,1973,290,1
328,1990,95,13
419,1986,172,14
64,2006,24,1
281,1993,104,5
568,1976,250,4
314,1991,57,2
657,1969,235,1
800,1954,577,0
993,2018,844,9
973,2017,822,63
763,1959,552,0
988,2017,814,0
388,1987,137,6
872,2012,5,0
774,1958,484,0
494,1981,202,7
755,1960,482,10
217,1997,25,4
824,1952,749,0
266,1994,107,0
1041,2020,846,65
399,1987,77,18
604,1974,324,0
558,1977,211,0
1087,2022,847,170
1032,2020,826,1
675,1968,370,6
823,1952,525,0
560,1976,230,0
233,1996,57,16
739,1961,356,1
803,1954,665,0
582,1975,295,0
848,2011,813,0
88,2005,32,5
87,2005,15,43
370,1989,78,0
552,1977,264,0
883,2013,824,0
274,1993,118,0
551,1977,182,33
491,1981,213,0
1028,2019,830,235
247,1995,14,17
82,2005,22,31
791,1956,581,25
541,1978,232,0
193,1998,44,0
715,1964,358,0
331,1990,137,24
941,2015,154,44
303,1992,95,108
867,2012,20,85
97,2004,31,24
81,2005,8,51
347,2010,3,94
685,1967,377,0
414,1986,156,0
584,1975,282,0
655,1970,280,8
600,1974,270,0
325,1990,122,0
366,1989,88,0
567,1976,223,16
933,2015,4,0
652,1970,320,0
683,1967,289,6
704,1965,409,0
580,1975,224,21
328,1990,147,0
761,1959,568,0
722,1963,364,12
385,1988,117,84
164,2000,21,14
985,2017,836,5
305,1991,139,0
637,1971,224,10
967,2016,836,1
488,1981,212,3
441,1984,177,11.5
789,1956,579,22.5
824,1952,640,0
631,1972,182,0
772,1958,583,0
972,2017,4,0
829,1951,653,0
190,1999,44,2
970,2017,826,2
301,1992,102,46
727,1963,442,0
335,1990,137,35
765,1958,501,0
796,1955,657,1
831,1951,661,0
800,1954,669,0
234,1996,83,0
605,1973,305,0
489,1981,117,4
1027,2019,817,38
47,2007,1,84
660,1969,370,3
532,1978,238,20
